division_code,name,name_mm,remark
001,Yangon,"ရန်ကုန်တိုင်း",Yangon Region,
002,Mandalay,"မန္တလေးတိုင်း",Mandalay Region,
003,Magway,"မကွေးတိုင်း",Magway Region,
004,Ayeyarwady,"အေရာဝတီတိုင်း",Ayeyarwady Region,
005,Bago,"ပဲခူးတိုင်း",Bago Region,
006,Shan,"ရှမ်းပြည်နယ်",Shan State,
007,Mon,"မွန်ပြည်နယ်",Mon State,
008,Rakhine,"ရခိုင်ပြည်နယ်",Rakhine State,
009,Kayah,"ကယားပြည်နယ်",Kayah State,
010,Kayin,"ကရင်ပြည်နယ်",Kayin State,
011,Chin,"ချင်းပြည်နယ်",Chin State,
012,Sagaing,"စစ်ကိုင်းတိုင်း",Sagaing Region,
013,Tanintharyi,"တနင်္သာရီတိုင်း",Tanintharyi Region,
014,Magway,"မကွေးတိုင်း",Magway Region,
015,Kayah,"ကယားပြည်နယ်",Kayah State,
016,Naypyidaw,"နေပြည်တော်",Naypyidaw Union,
