township_code,short_name,long_name,name_mm,remark
001,Ahlone,Ahlone,"အလုံ","",
002,Bahan,Bahan,"ဗဟန်း","",
003,Botahtaung,Botahtaung,"ဘိုတထောင်","",
004,Dagon,Dagon,"ဒဂုံ","",
005,Dagon Seikkan,Dagon Seikkan,"ဒဂုံဆိပ်ကမ်း","",
006,East Dagon,East Dagon,"အရှေ့ဒဂုံ","",
007,Dawbon,Dawbon,"ဒေါပုံ","",
008,Hlaing,Hlaing,"လှိုင်","",
009,Hlaingthaya,Hlaingthaya,"လှိုင်သာယာ","",
010,Insein,Insein,"အင်းစိန်","",
011,Kamayut,Kamayut,"ကမာရွတ်","",
012,Kyeemyindaing,Kyeemyindaing,"ကြည့်မြင်တိုင်","",
013,Kyauktada,Kyauktada,"ကျောက်တံတား","",
014,Latha,Latha,"လသာ","",
015,Mayangone,Mayangone,"မရမ်းကုန်း","",
016,Mingaladon,Mingaladon,"မင်္ဂလာဒုံ","",
017,North Okkalapa,North Okkalapa,"မြောက်ဥက္ကလာပ","",
018,Pazundaung,Pazundaung,"ပုစွန်တောင်","",
019,Sanchaung,Sanchaung,"စမ်းချောင်း","",
020,Shwepyitha,Shwepyitha,"ရွှေပြည်သာ","",
021,South Okkalapa,South Okkalapa,"တောင်ဉက္ကလာပ","",
022,Thaketa,Thaketa,"သကတေး","",
023,Thingangyun,Thingangyun,"သင်္ကန်းကျွန်း","",
024,Yankin,Yankin,"ရန်ကင်း","",
025,Hmawbi,Hmawbi,"မှော်ဘီ","",
026,Taikkyi,Taikkyi,"တိုက်ကြီး","",
027,Dala,Dala,"ဒလ","",
028,Seikkyi Kanaungto,Seikkyi Kanaungto,"ဆိပ်ကြီးခနောင်","",
029,Kungyangon,Kungyangon,"ကွမ်းခြံကုန်း","",
030,Kyauktan,Kyauktan,"ကျောက်တန်း","",
031,Thanlyin,Thanlyin,"သန်လျင်","",
032,Twante,Twante,"တွံတေး","",
033,South Dagon,South Dagon,"တောင်ဒဂုံ","",
034,North Dagon,North Dagon,"မြောက်ဒဂုံ","",
035,DaNyinKone,DaNyinKone,"ဒညင်းကုန်း","",
037,ShwePoukKan,ShwePoukKan,"ရွှေပေါက်ကံ","",
038,Hlegu,Hlegu,"လှည်းကူး",""
